row_index,workflow_history,subject_as_recorded,subfield_codes,authorized_label_add,structured_value_add,vocab,source_authority_uri,authorized_label,structured_value
11,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.909171400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.328103400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.949576Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Doctrines--Early works to 1800,a--x--v,,,0,,Catholic Church;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636
12,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.909171400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.328103400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.949576Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Liturgy,a--x,,,0,,Catholic Church;Liturgics,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579
13,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.909171400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.949576Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Liturgy--Early works to 1800,a--x--v,,,0,,Catholic Church;Liturgics;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1411636
14,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.909171400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Liturgy--Texts--Early works to 1800,a--x--x--v,,,0,,Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636
15,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.909171400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Liturgy--Texts--Early works to 1800,a--x--v--v,,,0,,Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636
16,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.909171400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Prayers and devotions,a--v,,,0,,Catholic Church;Prayers and devotions,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909
17,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.910167800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Prayers and devotions--Early works to 1800,a--v--v,,,0,,Catholic Church;Prayers and devotions;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636
18,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.910167800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Catholic Church--Spain--Manuscripts--Early works to 1800,a--z--v--v,Catholic Church;Spain;Manuscripts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1411636,0,,,
19,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.910167800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z",Church of the East--Prayers and devotions--Manuscripts,a--v--v,Church of the East;Prayers and devotions;Manuscripts,http://id.worldcat.org/fast/1761954;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1424060,0,,,
20,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T23:00:20.992173200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-20T23:01:31.617922800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:01:54.910167800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-20T23:02:41.751905Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:06:32.378174Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-20T23:07:54.329108300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:08:24.422782Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-20T23:16:08.138588900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:16:42.132493800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-20T23:17:13.805605700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:17:50.426632100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-20T23:20:41.724971300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:21:17.522265300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-20T23:21:48.467601400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:22:12.782210900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-20T23:24:33.541442600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-20T23:25:19.018024300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-20T23:26:01.937607500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:26:43.056635900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-20T23:27:59.950574400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-20T23:28:55.739308200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-20T23:30:35.291230700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-20T23:31:41.981028Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-20T23:31:58.389152800Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-20T23:33:53.261114900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-20T23:34:39.091827600Z","Gregory I, Pope, approximately 540-604--Manuscripts",a;b;c;d--v,"Gregory I, Pope, approximately 540-604;Manuscripts",http://id.worldcat.org/fast/1821692;http://id.worldcat.org/fast/1424060,0,,,
