title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"""Abd al-Majid Khan""",,,,Abd al-Majid Khan
"""A viro prudente...""",,,,A viro prudente
"""His Holiness Khwajah Nizam al-Din""",,,,His Holiness Khwajah Nizam al-Din
"""Lancelot Proper""",,,,Roman de Lancelot
"""Mustophy Mamalack,"" a Portrait of an Official Sitting Holding a Document",,,,"""Mustophy Mamalack,"" a Portrait of an Official Sitting Holding a Document"
"""The Good Shepherd""",,,,The Good Shepherd
[Bible].,,,,Bible
[Biblia sacra].,,,,Bible
[Book of hours (Use of Paris)].,,,,Book of hours
[Book of hours (Use of Rouen)].,,,,Book of hours
[Book of hours].,,,,Book of hours
[Breviary],,,,Breviary
[Enchiridion] (fragmentary).,,,,Enchiridion
[Missal].,,,,Missal
[Psalter],,,,Psalter
12 miniatures with Biblical Scenes,,,,Miniatures;Biblical scenes
14 leaves from a mid-13th-century Bible,,Bible.,,Bible
"15th century breviary for feast of August 29,30, September 8",,,,Breviary
15th century calendar,,,,Calendar
17th-century embroidered silk purse stabilized with fragments of medieval manuscript waste,,,,Silk purse with manuscript waste
2 leaves from the Etymologiae,,Etymologiae,,Etymologiae
Abbadia San Salvatore property lien,,,,Property lien
"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,Commentary on Peter Lombard's Sententiarum
Abbreviatio Summae Guillelmi Altissiodorensis /,,,,Summae Guillelmi Altissiodorensis
"Abidatsuma kusharon ""Funbetsuzuimenbon dai go no ni"" /",阿毗達磨俱舍論「分別随民品第五之二」 /,Tripiṭaka.,,Tripiṭaka
"Abrégé des graces, et des merveilles opérées dans le monastère, des religieuses Ursulines de Magny",,,,Works of the Ursulines at Magny
Abridged Latin translation of the Nichomachean ethics and some commentaries on Aristotle,,,,Nichomachean ethics
Abscondita naturae,,,,Abscondita naturae
Ab urbe condita,,,,Ab urbe condita
"Academic exercise (prolusion) on rising early, including an essay on the saying mane citus lectum fuge, and two poems, Surge, age surge, leves, iam convenit arcere somnes ; and Ignavus satrapam dedecet inclytum",,,,Academic treatises;Poems;Carmina Elegiaca
A carrier to a kinge and three poems by Francis Quarles,,,,A carrier to a kinge and three poems
Acciaiuoli family correspondence,,,,Family documents
Account book,,,,Account book
Account book and record of transactions,,,,Account book
