subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Armenian Church--Hymns,0,a--v,,Armenian Church;Hymns,http://id.worldcat.org/fast/510579;http://id.worldcat.org/fast/1423701,Q38574;Q6878,,,
Qurʼan,0,a,http://id.loc.gov/authorities/subjects/sh85072953,,,,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441
"Muḥammad, Prophet, -632--Prayers and devotions--Early works to 1800",0,a;c;d--v--v,,,,,"Muḥammad, Prophet, -632;Prayers and devotions;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q3639;Q3052;Q300
"Muḥammad, Prophet, -632--Biography--Early works to 1800",0,a;c;d--v--v,,,,,"Muḥammad, Prophet, -632;Biographies;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q3639;Q3051;Q300
Qurʼan--Manuscripts,0,a--x,http://id.loc.gov/authorities/subjects/sh85072972,,,,Qurʼan;Manuscripts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1008230,Q11441;Q38609
"Nawawī, 1233-1277. Ḥizb",0,a;d;t,,,,,,,
"Shaybānī, Muḥammad ibn al-Ḥasan, approximately 750-804 or 805. ʻAqīdah",0,a;d;t,http://id.loc.gov/authorities/names/no2018101881,,,,"ʻAqīdah (Shaybānī, Muḥammad ibn al-Ḥasan)",http://id.worldcat.org/fast/2058443,Q11209
"Khaṭīb al-Baghdādī, Abū Bakr Aḥmad ibn ʻAlī, 1002-1071. Tārīkh Baghdād",0,a;d;t,http://id.loc.gov/authorities/names/n96902486,"Tārīkh Baghdād (Khaṭīb al-Baghdādī, Abū Bakr Aḥmad ibn ʻAlī)",http://id.worldcat.org/fast/1356332,Q74821,,,
"Subkī, Tāj al-Dīn ʻAbd al-Wahhāb ibn ʻAlī, approximately 1327-1370. Jamʻ al-jawāmiʻ fī al-uṣūl",0,a;d;t,http://id.loc.gov/authorities/names/n2003069428,,,,"Jamʻ al-jawāmiʻ fī al-uṣūl (Subkī, Tāj al-Dīn ʻAbd al-Wahhāb ibn ʻAlī)",http://id.worldcat.org/fast/1378154,Q11316
Qurʼan--Commentaries--Early works to 1800,0,a--v--v,,,,,Qurʼan;Commentaries;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q11441;Q2812;Q300
"Qurʼan--Criticism, interpretation, etc.--Early works to 1800",0,a--x--v,,,,,Qurʼan;Criticism and interpretation;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636,Q11441;Q292;Q300
"Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century. Bīst bāb dar taqvīm",0,a;d;t,,,,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621. Tashrīḥ al-aflāk",0,a;d;t,,,,,,,
"Apollonius, of Perga. Conics",0,a;c;t,http://id.loc.gov/authorities/names/n2001039056,"Conics (Apollonius, of Perga)",http://id.worldcat.org/fast/1360408,Q74822,,,
"Qāḍī Mīr, Ḥusayn ibn Muʻīn al-Dīn, -1504 or 1505. Sharḥ Hidāyat al-ḥikmah",0,a;d;t,,,,,,,
"Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar, -1265. Hidāyat al-ḥikmah",0,a;d;t,,,,,,,
"Ulugh Beg, 1394-1449. Zīj-i jadīd-i Sultānī",0,a;d;t,http://id.loc.gov/authorities/names/n84233156,,,,Zij-i jadid-i Sultani (Ulugh Beg),http://id.worldcat.org/fast/1796662,Q324
"Muḥammad, Prophet, -632--Isrāʼ and Miʻrāj",0,a;c;d--x,http://id.loc.gov/authorities/subjects/sh85088283,,,,Isra' and Mi`raj of the Prophet Muhammad,http://id.worldcat.org/fast/1353433,Q48885
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273. Mas̲navī",0,a;c;d;t,http://id.loc.gov/authorities/names/n81058129,,,,"Mas̲navī (Jalāl al-Dīn Rūmī, Maulana)",http://id.worldcat.org/fast/1362351,Q48910
"İbrahim bin Muhammed Gülşenî, -1534. Şerh-i maʻnevi-i şerif",0,a;d;t,,,,,,,
"Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah",0,a;d;t,http://id.loc.gov/authorities/names/n83056203,,,,"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1360506,Q11401
"Muḥammad, Prophet, -632--Biography",0,a;c;d--v,http://id.loc.gov/authorities/subjects/sh91004954,,,,"Muḥammad, Prophet, -632;Biographies",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1919896,Q3639;Q3051
"Ibn Ājurrūm, Muḥammad ibn Muḥammad, 1273 or 1274-1323. Ajurrūmīyah",0,a;d;t,http://id.loc.gov/authorities/names/no2011050004,,,,"Ajurrūmīyah (Ibn Ājurrūm, Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1911422,Q11197
