row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.922582800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Abbots,,Abbots,http://id.worldcat.org/fast/794221
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Abbots--Early works to 1800,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Accounting,,Accounting,http://id.worldcat.org/fast/795379
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Accounting--France--14th century,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Agriculture,,Agriculture,http://id.worldcat.org/fast/801355
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Agriculture--Early works to 1800,,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Animal culture--Early works to 1800,,Animal culture;Early works,http://id.worldcat.org/fast/809131;http://id.worldcat.org/fast/1411636
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Aqueducts,,Aqueducts,http://id.worldcat.org/fast/812149
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Aqueducts--Italy--Rome--Early works to 1800,,Aqueducts;Italy;Italy--Rome;Early works,http://id.worldcat.org/fast/812149;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1411636
11,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Arab countries,,Arab countries,http://id.worldcat.org/fast/1240128
12,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Arithmetic,,Arithmetic,http://id.worldcat.org/fast/814484
13,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.664659900Z",Arithmetic--Early works to 1900,,Arithmetic;Early works,http://id.worldcat.org/fast/814484;http://id.worldcat.org/fast/1411636
14,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Artillery,,Artillery,http://id.worldcat.org/fast/817490
15,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Artillery--Early works to 1800,,Artillery;Early works,http://id.worldcat.org/fast/817490;http://id.worldcat.org/fast/1411636
16,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.393680500Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astrolabes,,Astrolabes,http://id.worldcat.org/fast/819392
17,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astrolabes--Early works to 1800,,Astrolabes;Early works,http://id.worldcat.org/fast/819392;http://id.worldcat.org/fast/1411636
18,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astrology,,Astrology,http://id.worldcat.org/fast/819398
19,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astrology--Early works to 1800,,Astrology;Early works,http://id.worldcat.org/fast/819398;http://id.worldcat.org/fast/1411636
20,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astronomy,,Astronomy,http://id.worldcat.org/fast/819673
21,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z","Astronomy, Medieval",,"Astronomy, Medieval",http://id.worldcat.org/fast/819781
22,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astronomy--Early works to 1800,,Astronomy;Early works,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636
23,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Astronomy--Tables,,Astronomy--Tables,http://id.worldcat.org/fast/819745
24,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bakers,,Bakers,http://id.worldcat.org/fast/1431877
25,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bakers--England--Early works to 1800,,Bakers;England;Early works,http://id.worldcat.org/fast/1431877;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
26,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Barga (Italy)--History,,Italy--Barga;History,http://id.worldcat.org/fast/1235479;http://id.worldcat.org/fast/1411628
27,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bishops,,Bishops,http://id.worldcat.org/fast/833378
28,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bishops--Early works to 1800,,Bishops;Early works,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1411636
29,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Booksellers and bookselling,,Booksellers and bookselling,http://id.worldcat.org/fast/836492
30,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Booksellers and bookselling--Early works to 1800,,Booksellers and bookselling;Early works,http://id.worldcat.org/fast/836492;http://id.worldcat.org/fast/1411636
31,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Botany,,Botany,http://id.worldcat.org/fast/836869
32,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z","Botany, Medical",,"Botany, Medical",http://id.worldcat.org/fast/836961
33,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z","Botany, Medical--Early works to 1800",,"Botany, Medical;Early works",http://id.worldcat.org/fast/836961;http://id.worldcat.org/fast/1411636
34,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Botany--Pictorial works--Early works to 1800,,Botany;Pictorial works;Early works,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1423874;http://id.worldcat.org/fast/1411636
35,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bread,,Bread,http://id.worldcat.org/fast/1198482
36,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bread--England--Early works to 1800,,Bread;England;Early works,http://id.worldcat.org/fast/1198482;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
37,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bridles,,Bridles,http://id.worldcat.org/fast/838967
38,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Bridles--Early works to 1800,,Bridles;Early works,http://id.worldcat.org/fast/838967;http://id.worldcat.org/fast/1411636
39,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cabala,,Cabala,http://id.worldcat.org/fast/843481
40,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cabala--Early works to 1800,,Cabala;Early works,http://id.worldcat.org/fast/843481;http://id.worldcat.org/fast/1411636
41,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Canon law,,Canon law,http://id.worldcat.org/fast/845910
42,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Canon law--Early works to 1800,,Canon law;Early works,http://id.worldcat.org/fast/845910;http://id.worldcat.org/fast/1411636
43,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cesena (Italy)--History,,Italy--Cesena;History,http://id.worldcat.org/fast/1205413;http://id.worldcat.org/fast/1411628
44,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Chess,,Chess,http://id.worldcat.org/fast/853777
45,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Chess--Early works to 1800,,Chess;Early works,http://id.worldcat.org/fast/853777;http://id.worldcat.org/fast/1411636
46,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Christian life,,Christian life,http://id.worldcat.org/fast/859185
47,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Christian life--Early works to 1800,,Christian life;Early works,http://id.worldcat.org/fast/859185;http://id.worldcat.org/fast/1411636
48,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Ciphers,,Ciphers,http://id.worldcat.org/fast/861549
49,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Ciphers--Early works to 1800,,Ciphers;Early works,http://id.worldcat.org/fast/861549;http://id.worldcat.org/fast/1411636
50,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cisterna di Latina (Italy),,Italy--Cisterna di Latina,http://id.worldcat.org/fast/1877258
51,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",City planning,,City planning,http://id.worldcat.org/fast/862177
52,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",City planning--Italy--Rome--Early works to 1800,,City planning;Italy;Italy--Rome;Early works,http://id.worldcat.org/fast/862177;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1411636
53,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Confession--Catholic Church,,Confession--Catholic Church,http://id.worldcat.org/fast/1750863
54,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z","Confession--Catholic Church--Handbooks, manuals, etc.--Early works to 1800",,Confession--Catholic Church;Handbooks and manuals;Early works,http://id.worldcat.org/fast/1750863;http://id.worldcat.org/fast/1423877;http://id.worldcat.org/fast/1411636
55,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cosmography,,Cosmography,http://id.worldcat.org/fast/880594
56,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cosmography--Early works to 1800,,Cosmography;Early works,http://id.worldcat.org/fast/880594;http://id.worldcat.org/fast/1411636
57,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cosmology,,Cosmology,http://id.worldcat.org/fast/880600
58,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cosmology--Early works to 1800,,Cosmology;Early works,http://id.worldcat.org/fast/880600;http://id.worldcat.org/fast/1411636
59,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Criticism and interpretation,,Criticism and interpretation,http://id.worldcat.org/fast/1198648
60,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cryptography,,Cryptography,http://id.worldcat.org/fast/884552
61,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Cryptography--Early works to 1800,,Cryptography;Early works,http://id.worldcat.org/fast/884552;http://id.worldcat.org/fast/1411636
62,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Dyes and dyeing,,Dyes and dyeing,http://id.worldcat.org/fast/900233
63,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Dyes and dyeing--Early works to 1800,,Dyes and dyeing;Early works,http://id.worldcat.org/fast/900233;http://id.worldcat.org/fast/1411636
64,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Encyclopedias and dictionaries,,Encyclopedias and dictionaries,http://id.worldcat.org/fast/909533
65,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.665657400Z",Encyclopedias and dictionaries--Early works to 1600,,Encyclopedias and dictionaries;Early works,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/1411636
66,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.666656700Z",England,,England,http://id.worldcat.org/fast/1219920
67,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.666656700Z",England--Suffolk,,England--Suffolk,http://id.worldcat.org/fast/1212535
68,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.666656700Z",England--Warwickshire,,England--Warwickshire,http://id.worldcat.org/fast/1212375
69,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.666656700Z",Ephemerides,,Ephemerides,http://id.worldcat.org/fast/913680
70,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T14:03:58.924579600Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-12-21T14:04:41.394678600Z | SUBJECT RECON, STEP 12: FINALIZED 2022-12-21T14:07:44.666656700Z",Ephemerides--Early works to 1800,,Ephemerides;Early works,http://id.worldcat.org/fast/913680;http://id.worldcat.org/fast/1411636
