title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Accounts of William Pawlett in Dorset,,,,Accounts book
"Bible, N. T. , glossed",,,,Bible;New Testament
"Bible, O. T.",,,,Bible;Old Testament
Bonum universale de apibus,,,,Bonum universale de apibus
Breviary,,,,Breviary
Breviary or Sequentiary,,,,Breviary;Sequentiary
Canon law,,,,Canon law
Canon law (?),,,,Canon law
Chronicle,,,,Chronicle
Codex,,,,Codex
"Codex, Liber Sextus",,,,Codex
Commentarii in Politicorum Aristotelis libris,,,,"Commentary on Aristotle, Politics;Politics"
Commentariorum in Matthaeum Libri Octo,,,,Commentary on Matthew;Gospel of Matthew
"Commentary on Aristotle, Analytica Priora (?)",,,,"Commentary on Aristotle, Prior Analytics;Prior Analytics"
Compendium theologicae veritatis,,,,Compendium theologicae veritatis
De miseria condicionis humane,,,,De Miseria Condicionis Humane
De potentia,,,,De potentia
De vita christiana,,,,Vita christiana
Decretals,,,,Decretals
Decretum,,,,Decretals
Distinctiones alphabeticae,,,,Distinctiones
Elementarium doctrinae rudimentum,,,,Elementarium doctrinae rudimentum
Expositio in Job,,,,Commentary on Job
"Florilegium, here ""Superbia""",,,,Florilegium
Glossary,,,,Glossary
Gospel lectionary,,,,Lectionary
Graecismus,,,,Graecismus
Historia scholastica,,,,Historia Scholastica
Homeliae de tempore,,,,Homeliae de tempore
Homeliarum in Ezechielem,,,,Homilies on Ezekiel
Homilies on Ezechiel,,,,Homilies on Ezekiel
Institutiones grammaticae,,,,Institutiones grammaticae
Lectio prima,,,,Lectio prima
Liber II Meteorum,,,,Meteorologica
"Liber Sextus Decretalium, commentary on",,,,Commentary on Liber Sextus Decretalium
Liber sententiarum,,,,Liber sententiarum
Manipulus florum,,,,Manipulus florum
Medulla Grammatice,,,,Medulla Grammaticae
Order for peaceable behavior,,,,Order for peaceable behavior
Peri Hermenias,,,,Periermenias
Physica,,,,Physics
Poem,,,,Poetry
Postilla super totam Bibliam,,,,Commentary on the Bible
Pro Cluentio,,,,Pro Cluentio
Psalter,,,,Psalter
Recipe against worms,,,,Medicine miscellany
Register of accounts,,,,Accounts book
Religious text,,,,Religious text
Roman law,,,,Roman law
Scriptum super Sententiis,,,,Scriptum super Sententiis
Sequentiary with commentary,,,,Sequentiary
Sermo de spiritu sancto,,,,Sermo de spiritu sancto
"Sermon-writing aid, in alphabetical order",,,,Sermons
Sermons,,,,Sermons
Summa codicis,,,,Summa codicis
Summa contra gentiles,,,,Summa contra gentiles
Sureties for peaceable behavior,,,,Sureties for peaceable behavior
Synonyma,,,,Synonyma
Theological material,,,,Theological miscellany
Tractatus iudiciarii ordinis divisus in octo partes sive subtractatus,,,,Tractatus iudiciarii ordinis
Viaticum,,,,Viaticum
Will of Johanna Girard,,,,Will
Writ of Praecipe,,,,Writ
Writ to require security,,,,Writ
